employee_id,employee_name,department,course_name,assigned_date,due_date,completion_date,status
1202,Swati Iyer,IT,Project Management,2026-01-19,2026-02-16,,Pending
1321,Kavya Ghosh,Sales,Python Basics,2025-04-11,2025-05-23,2025-04-25,Completed
1339,Rekha Patel,Sales,Data Security Awareness,2026-01-14,2026-02-16,2026-01-15,Completed
1013,Rekha Bhat,Operations,Data Security Awareness,2026-02-04,2026-03-11,2026-02-16,Completed
1269,Harish Banerjee,HR,Python Basics,2025-07-26,2025-09-04,,Pending
1218,Harish Bhat,Operations,Excel for Business,2026-02-19,2026-03-14,,Pending
1242,Myra Ghosh,Marketing,Anti-Harassment Training,2026-02-15,2026-02-27,,Pending
1156,Sachin Malhotra,IT,Data Security Awareness,2025-09-05,2025-10-01,2025-09-11,Completed
1262,Sunita Ghosh,Marketing,Project Management,2025-06-06,2025-06-27,,Pending
1265,Anjali Sen,Operations,Project Management,2025-10-29,2025-11-22,2025-11-06,Completed
1310,Pranav Verma,HR,Customer Service Excellence,2025-10-04,2025-11-02,2025-10-14,Completed
1236,Pranav Deshpande,Operations,Python Basics,2025-06-23,2025-07-22,,Pending
1307,Anjali Patel,Sales,Leadership Fundamentals,2025-08-29,2025-10-06,,Pending
1191,Ayaan Singh,IT,Workplace Safety,25/11/2025,2025-12-07,2025-12-01,Completed
1157,Priya Sinha,Finance,Excel for Business,2025-10-20,2025-11-23,2025-10-31,Completed
1064,Gaurav Singh,HR,Communication Skills,2025-04-07,2025-04-29,2025-04-13,Completed
1027,Nitin Pandey,IT,Leadership Fundamentals,2025-10-05,2025-11-10,,Pending
1337,Harish Verma,Operations,Python Basics,2026-01-24,2026-02-26,,Pending
1289,Arun Gupta,HR,Project Management,2025-05-25,2025-07-04,2025-06-06,Completed
1234,Swati Malhotra,Sales,Data Security Awareness,2026-02-11,2026-03-12,2026-02-19,Completed
1046,Harish Kumar,Finance,SQL Fundamentals,2025-07-22,2025-08-28,2025-07-31,Completd
1038,Sachin Bhat,IT,Leadership Fundamentals,2025-09-01,2025-10-06,2025-09-03,Completed
1099,Aadhya Singh,IT,Anti-Harassment Training,2025-04-23,2025-05-03,2025-04-26,Completed
1177,Kavya Kulkarni,Finance,Leadership Fundamentals,2025-05-29,2025-06-16,2025-06-07,Completed
1180,Sara Sinha,IT,Customer Service Excellence,2025-06-08,2025-07-03,2025-06-13,Completed
1046,Harish Kumar,Finance,Customer Service Excellence,2025-10-31,2025-12-01,,Pending
1302,Vikram Deshpande,Sales,Anti-Harassment Training,2025-10-29,2025-11-27,2025-11-02,Completed
1305,Anjali Mishra,Operations,Leadership Fundamentals,2026-02-09,2026-03-09,,Pending
1118,Nandini Nair,IT,Python Basics,2025-04-16,2025-05-29,2025-05-02,Completed
1180,Sara Sinha,IT,Leadership Fundamentals,2025-11-13,2025-12-05,,Pending
1048,Rahul Sen,Sales,Workplace Safety,2025-10-05,2025-11-01,,Pending
1148,Gaurav Singh,Sales,Project Management,2025-05-01,2025-06-01,2025-05-11,Completed
1251,Rajesh Pillai,HR,Workplace Safety,2025-11-18,2025-11-30,2025-11-19,Completed
1271,Varun Shah,Operations,SQL Fundamentals,2025-04-10,2025-04-28,,Pending
1074,Sunita Sharma,Operations,Excel for Business,03/06/2025,2025-07-08,2025-06-16,Completed
1066,Gaurav Shah,Sales,Customer Service Excellence,2025-07-15,2025-08-15,2025-07-21,Completed
1301,Kiran Sharma,IT,Excel for Business,2025-09-15,2025-10-06,,Pending
1178,Gaurav Pillai,Sales,SQL Fundamentals,2025-04-01,2025-04-26,,Pending
1105,Aadhya Singh,Marketing,Anti-Harassment Training,2025-06-05,2025-07-01,2025-06-10,Completed
1338,Pooja Nair,Finance,Anti-Harassment Training,2025-05-26,2025-06-25,,Pending
1317,Sneha Mukherjee,Sales,Anti-Harassment Training,2025-04-07,2025-04-27,2025-04-10,Completed
1211,Kiran Mishra,Sales,Excel for Business,2026-01-26,2026-02-22,2026-02-09,pending
1016,Amit Bhat,IT,Python Basics,2025-04-26,2025-05-21,,Pending
1350,Anjali Nair,Finance,Customer Service Excellence,2025-05-28,2025-07-03,2025-06-03,Completed
1216,Deepak Saxena,IT,Leadership Fundamentals,2025-10-02,2025-11-02,2025-10-09,Completed
1080,Ishaan Pandey,IT,Leadership Fundamentals,2025-12-13,2026-01-04,,Pending
1165,Rohit Sinha,IT,Data Security Awareness,2025-12-22,2026-01-12,2025-12-28,Completed
1037,Vikram Pillai,HR,Data Security Awareness,2025-05-01,2025-05-28,,Pending
1049,Kavya Singh,Sales,Communication Skills,2025-05-25,2025-06-23,,Pending
1072,Ayaan Kulkarni,IT,Leadership Fundamentals,2025-05-07,2025-05-24,2025-05-15,Completed
1060,Sai Kumar,HR,Anti-Harassment Training,2025-05-03,2025-05-16,2025-05-09,Completed
1288,Amit Malhotra,Sales,SQL Fundamentals,2026-01-05,2026-02-13,2026-01-18,Completed
1092,Divya Verma,Finance,SQL Fundamentals,2025-12-27,2026-01-22,2026-01-04,Completed
1328,Tanya Patel,Finance,SQL Fundamentals,2025-11-06,2025-11-26,,Pending
1234,Swati Malhotra,Sales,Workplace Safety,2026-01-07,2026-02-09,,Pending
1091,Krishna Modi,IT,Communication Skills,2025-11-17,2025-12-08,2025-11-29,Completed
1152,Rekha Reddy,IT,Leadership Fundamentals,2025-10-21,2025-11-18,,Pending
1230,Shruti Banerjee,Finance,Project Management,2025-11-04,2025-12-03,2025-11-16,Completed
1160,Sunita Malhotra,Operations,Project Management,2025-06-17,2025-07-27,,Pending
1296,Arun Shah,Sales,Workplace Safety,2025-05-16,2025-05-28,2025-05-20,Completed
1207,Mohan Chopra,IT,Workplace Safety,2025-10-07,2025-10-21,2025-10-08,Completed
1145,Rohit Verma,HR,SQL Fundamentals,2026-01-12,2026-02-15,2026-01-17,Completed
1004,Krishna Nair,Finance,Workplace Safety,2025-10-27,2025-11-17,,Pending
1206,Jyoti Saxena,IT,Communication Skills,2025-04-26,2025-05-19,2025-05-06,Completed
1108,Kavya Trivedi,Operations,Project Management,2025-05-23,2025-06-29,2025-06-04,Completed
1047,Aadhya Reddy,HR,Anti-Harassment Training,2025-12-02,2025-12-18,,Pending
1077,Rohit Nair,Operations,Project Management,2026-01-09,2026-02-08,2026-01-24,Completed
1201,Vikram Ghosh,Finance,Python Basics,2026-01-18,2026-02-15,,Pending
1151,Manish Chopra,Marketing,Customer Service Excellence,2026-02-12,2026-03-16,,Pending
1024,Arun Rao,HR,Customer Service Excellence,2025-04-13,2025-05-15,,Pending
1197,Suresh Reddy,Operations,Python Basics,2025-04-14,2025-05-10,2025-04-30,Completed
1186,Harish Joshi,Finance,Python Basics,2025-09-20,2025-10-22,2025-09-29,Completed
1138,Lakshmi Trivedi,Finance,Anti-Harassment Training,2026-01-14,2026-02-13,2026-01-15,Completed
1052,Deepak Shah,Operations,Anti-Harassment Training,2026-02-18,2026-02-27,2026-02-21,Completed
1335,Harish Pandey,IT,Customer Service Excellence,2025-07-19,2025-08-13,2025-07-20,Completed
1172,Sachin Deshpande,IT,Project Management,2025-06-19,2025-07-19,2025-07-02,Completed
1159,Sachin Deshpande,IT,Project Management,2026-01-15,2026-02-22,2026-01-22,Completed
1239,Rahul Sen,Finance,Data Security Awareness,2025-06-18,2025-07-05,2025-06-25,Completed
1276,Tanya Desai,Sales,Data Security Awareness,2025-05-11,2025-05-31,2025-05-16,Completed
1327,Harish Reddy,Sales,Communication Skills,2025-12-04,2026-01-06,2025-12-11,Completed
1265,Anjali Sen,Operations,Python Basics,2025-07-19,2025-08-25,2025-07-26,Completed
1174,Krishna Sinha,IT,Communication Skills,2025-05-26,2025-06-18,2025-05-31,Completed
1120,Pranav Saxena,Sales,SQL Fundamentals,2025-12-05,2026-01-07,,Pending
1118,Nandini Nair,IT,Data Security Awareness,2025-07-21,2025-08-14,,Pending
1046,Harish Kumar,Finance,Data Security Awareness,2025-04-03,2025-04-21,2025-04-04,Completed
1322,Sneha Gupta,Finance,Excel for Business,2025-06-09,2025-07-04,2025-06-17,Completed
1015,Varun Banerjee,,Workplace Safety,2025-04-03,2025-04-28,2025-04-04,Completed
1068,Divya Sharma,Operations,Anti-Harassment Training,2025-06-05,2025-06-26,2025-06-06,Completed
1002,Vivaan Bhat,Marketing,Excel for Business,2025-12-12,2026-01-15,,Pending
1240,Varun Kulkarni,IT,Project Management,2025-05-06,2025-06-06,,Pending
1013,Rekha Bhat,Operations,Data Security Awareness,2025-11-09,2025-11-21,2025-11-14,Completed
1116,Mohan Shah,Operations,Workplace Safety,2025-09-07,2025-10-05,2025-09-08,Completed
1342,Arjun Chopra,Sales,Communication Skills,2026-02-21,2026-03-20,2026-02-25,Completed
1310,Pranav Verma,HR,Communication Skills,10/04/2025,2025-05-04,2025-04-15,Completed
1175,Ayaan Nair,Finance,SQL Fundamentals,2025-11-21,2025-12-30,,Pending
1083,Gaurav Malhotra,HR,Workplace Safety,2025-11-09,2025-11-22,2025-11-12,Completed
1094,Sara Das,Sales,SQL Fundamentals,2025-10-22,2025-11-24,2025-11-03,Completed
1288,Amit Malhotra,Sales,Python Basics,2025-09-20,2025-10-18,2025-10-02,Completed
1080,Ishaan Pandey,IT,Anti-Harassment Training,2025-05-09,2025-06-03,2025-05-15,Completed
1065,Neha Mukherjee,HR,Customer Service Excellence,2025-12-17,2026-01-05,,Pending
1135,Neha Sharma,Marketing,Project Management,2025-09-26,2025-11-07,,Pending
1292,Varun Iyer,IT,Anti-Harassment Training,2025-07-29,2025-08-10,2025-07-30,Completed
1328,Tanya Patel,Finance,Excel for Business,2025-06-27,2025-08-02,2025-07-01,Completed
1019,Reyansh Gupta,Sales,Workplace Safety,2025-06-29,2025-07-29,2025-07-03,Completed
1168,Suresh Kulkarni,IT,SQL Fundamentals,2026-01-21,2026-02-21,2026-02-01,Completed
1108,Kavya Trivedi,Operations,SQL Fundamentals,2026-02-23,2026-04-01,,Pending
1187,Nitin Sinha,Operations,Project Management,2026-02-15,2026-03-16,2026-03-02,Completed
1180,Sara Sinha,IT,Workplace Safety,2025-11-26,2025-12-20,2025-12-06,Completed
1089,Sai Trivedi,Operations,Python Basics,2026-01-27,2026-02-18,2026-02-10,Completed
1164,Arjun Pillai,Sales,Workplace Safety,2025-09-05,2025-09-29,2025-09-06,Completed
1129,Vihaan Sharma,IT,Data Security Awareness,2025-10-05,2025-10-26,2025-10-08,Completed
1185,Aarav Saxena,HR,Workplace Safety,2026-02-08,2026-03-09,2026-02-09,Completed
1226,Vikram Malhotra,IT,Leadership Fundamentals,2026-01-22,2026-02-23,,Pending
1069,Nandini Rao,IT,Data Security Awareness,2025-11-16,2025-12-16,2025-11-18,Completed
1020,Neha Nair,HR,Project Management,2026-02-03,2026-03-09,2026-02-04,Completed
1007,Aditya Patel,IT,Data Security Awareness,2025-11-16,2025-12-01,2025-11-17,Completed
1067,Meera Sinha,IT,Project Management,2025-05-13,2025-06-17,2025-05-24,Completed
1096,Deepak Pandey,Sales,Data Security Awareness,2025-08-04,2025-09-07,2025-08-14,Completed
1050,Sara Malhotra,IT,Leadership Fundamentals,2025-12-24,2026-01-24,2025-12-29,Completed
1058,Suresh Mishra,IT,Project Management,2025-10-07,2025-11-04,2025-10-22,Completed
1276,Tanya Desai,Sales,Project Management,2026-01-31,2026-02-20,,Pending
1095,Shruti Deshpande,Operations,Project Management,2025-05-03,2025-06-01,2025-05-20,Completed
1152,Rekha Reddy,IT,Communication Skills,2025-08-23,2025-09-14,,Pending
1257,Nandini Deshpande,Marketing,SQL Fundamentals,2025-06-15,2025-07-12,2025-06-20,Completed
1183,Sai Banerjee,Marketing,Anti-Harassment Training,2025-09-26,2025-10-14,,Pending
1081,Tanya Verma,Operations,Communication Skills,2025-06-05,2025-07-08,,Pending
1154,Mohan Malhotra,Sales,Workplace Safety,2025-09-05,2025-10-02,2025-09-10,Completed
1021,Vikram Tiwari,Finance,Project Management,2025-06-04,2025-07-14,,Pending
1243,Sachin Mukherjee,Marketing,Customer Service Excellence,2025-05-17,2025-06-19,,Pending
1311,Sunita Joshi,Sales,Customer Service Excellence,2025-10-02,2025-10-15,2025-10-08,Completed
1120,Pranav Saxena,sales,Anti-Harassment Training,2025-07-18,2025-08-06,,Pending
1312,Swati Patel,IT,Leadership Fundamentals,2025-07-07,2025-07-29,,Pending
1306,Kavya Banerjee,Marketing,Anti-Harassment Training,2025-05-09,2025-05-27,,Pending
1158,Deepak Joshi,Operations,Workplace Safety,2025-12-15,2026-01-11,,Pending
1140,Riya Pillai,Marketing,Customer Service Excellence,2025-04-19,2025-05-23,2025-04-30,Completed
1158,Deepak Joshi,Operations,SQL Fundamentals,2025-06-06,2025-07-12,2025-06-16,Completed
1021,Vikram Tiwari,Finance,Anti-Harassment Training,2025-07-01,2025-08-01,2025-07-02,Completed
1199,Nandini Chopra,Operations,Anti-Harassment Training,2025-11-10,2025-11-20,2025-11-16,Completed
1257,Nandini Deshpande,Marketing,Excel for Business,2025-11-13,2025-12-19,2025-11-25,Completed
1113,Reyansh Nair,Marketing,Leadership Fundamentals,2025-07-28,2025-08-29,2025-08-02,Completed
1256,Sai Chopra,Sales,Leadership Fundamentals,2025-07-08,2025-08-03,,Pendig
1325,Vikram Mishra,Marketing,SQL Fundamentals,2025-11-11,2025-12-12,,Pending
1038,Sachin Bhat,IT,Communication Skills,2025-12-13,2026-01-12,2025-12-22,Completed
1065,Neha Mukherjee,HR,Anti-Harassment Training,2025-07-11,2025-08-08,2025-07-17,Completed
1172,Sachin Deshpande,IT,Python Basics,2025-04-26,2025-06-06,2025-05-10,Completed
1035,Nitin Pandey,Marketing,Project Management,2026-01-08,2026-01-30,,Pending
1125,Diya Bhat,IT,Customer Service Excellence,2025-06-02,2025-06-24,2025-06-10,Completed
1086,Pooja Chopra,HR,Anti-Harassment Training,2025-08-17,2025-09-09,,Pending
1180,Sara Sinha,I.T.,Anti-Harassment Training,2025-11-09,2025-11-20,,Pending
1163,Swati Nair,Finance,Excel for Business,2025-11-16,2025-12-14,,Pending
1335,Harish Pandey,IT,Communication Skills,2025-04-27,2025-05-23,2025-05-02,Completed
1044,Nitin Mishra,Marketing,Excel for Business,2025-10-14,2025-11-02,2025-10-28,Completed
1289,Arun Gupta,HR,Data Security Awareness,2025-09-10,2025-09-25,,Pending
1135,Neha Sharma,Marketing,Project Management,2025-06-13,2025-07-06,2025-06-20,Completed
1335,Harish Pandey,IT,Leadership Fundamentals,2025-06-10,2025-07-17,2025-06-16,Completed
1152,Rekha Reddy,IT,SQL Fundamentals,2025-04-02,2025-04-21,2025-04-13,Completed
1063,Nandini Banerjee,Operations,Excel for Business,2025-06-15,2025-07-19,,Pending
1327,Harish Reddy,Sales,SQL Fundamentals,2025-12-26,2026-01-25,2026-01-06,Completed
1278,Divya Desai,Finance,Python Basics,2025-07-30,2025-08-29,2025-08-11,Completed
1204,Diya Ghosh,Operations,Excel for Business,2025-10-31,2025-12-07,,Pending
1303,Tanya Mukherjee,Sales,Leadership Fundamentals,2025-05-02,2025-05-20,,Pending
1286,Arjun Kulkarni,IT,Leadership Fundamentals,2026-01-30,2026-03-03,2026-02-05,Completed
1270,Aadhya Mehta,HR,Customer Service Excellence,2026-01-19,2026-02-08,2026-01-28,Completed
1309,Sachin Sen,Operations,Python Basics,2025-11-05,2025-11-26,2025-11-20,Completed
1274,Krishna Shah,Marketing,Excel for Business,2026-01-17,2026-02-16,2026-01-22,Completed
1103,Aarav Singh,HR,Workplace Safety,2025-12-24,2026-01-14,2025-12-27,Completed
1045,Nandini Malhotra,HR,Customer Service Excellence,2026-01-03,2026-02-01,,Pending
1054,Krishna Chopra,Operations,Customer Service Excellence,2026-01-08,2026-01-21,2026-01-17,Completed
1099,Aadhya Singh,IT,Leadership Fundamentals,2025-04-22,2025-05-27,2025-04-27,Completed
1038,Sachin Bhat,IT,Project Management,2025-08-07,2025-09-18,2025-08-22,Completed
1216,Deepak Saxena,IT,Workplace Safety,2025-09-23,2025-10-10,2025-09-26,Completed
1031,Harish Kulkarni,Finance,Workplace Safety,2026-01-22,2026-02-24,2026-01-26,Completed
1289,Arun Gupta,HR,Anti-Harassment Training,2025-04-22,2025-05-12,2025-04-26,Completed
1077,Rohit Nair,Operations,Anti-Harassment Training,2025-11-23,2025-12-24,2025-11-24,Completed
1226,Vikram Malhotra,IT,Anti-Harassment Training,2025-06-08,2025-06-19,2025-06-10,Completed
1213,Vikram Deshpande,Finance,Leadership Fundamentals,2025-04-18,2025-05-12,2025-04-25,Completed
1019,Reyansh Gupta,Sales,Excel for Business,2025-04-21,2025-05-18,,Pending
1041,Arun Chopra,IT,Customer Service Excellence,2025-10-20,2025-11-19,2025-10-25,Completed
1300,Tanya Mukherjee,IT,Data Security Awareness,2025-07-06,2025-07-27,2025-07-12,Completed
1128,Divya Nair,Operations,Data Security Awareness,2025-09-16,2025-10-06,2025-09-20,Completed
1288,Amit Malhotra,Sales,Project Management,2025-11-09,2025-12-10,,Pending
1116,Mohan Shah,Operations,Communication Skills,2025-09-20,2025-10-09,2025-09-27,Completed
1068,Divya Sharma,Operations,Leadership Fundamentals,2025-10-05,2025-11-05,2025-10-16,Completed
1008,Sai Pillai,Operations,Workplace Safety,2025-11-03,2025-11-15,2025-11-04,Completed
1235,Sachin Rao,IT,Anti-Harassment Training,2026-01-04,2026-01-22,2026-01-06,Completed
1172,Sachin Deshpande,IT,Workplace Safety,2025-09-14,2025-10-15,2025-09-19,Completed
1198,Vikram Pillai,Operations,Leadership Fundamentals,2026-02-02,2026-03-11,2026-02-03,Completed
1004,Krishna Nair,Finance,Leadership Fundamentals,2025-09-26,2025-10-25,2025-10-06,Completed
1201,Vikram Ghosh,Finance,Project Management,2026-02-08,2026-03-12,2026-02-19,Completed
1030,Aditya Mishra,IT,Data Security Awareness,2025-05-08,2025-06-10,2025-05-11,Completed
1146,Vihaan Gupta,IT,Project Management,2025-12-18,2026-01-29,2026-01-02,Completed
